Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,2025-10-19T13:49:33.360Z,53.8232638,17.3410811,147.0,0.05,0.005,0.022,1.000,0,-0.02,-0.04,0.00
2,2025-10-19T13:49:33.400Z,53.8232638,17.3410810,147.0,0.29,0.003,0.020,1.000,0,-0.01,-0.03,0.00
3,2025-10-19T13:49:33.440Z,53.8232637,17.3410810,147.0,0.28,0.001,0.018,1.000,0,-0.01,-0.02,-0.01
4,2025-10-19T13:49:33.480Z,53.8232637,17.3410810,147.0,0.25,0.000,0.017,1.000,0,0.00,-0.01,0.00
5,2025-10-19T13:49:33.520Z,53.8232637,17.3410810,146.9,0.17,-0.001,0.016,0.999,0,0.00,0.00,0.00
6,2025-10-19T13:49:33.560Z,53.8232636,17.3410810,146.9,0.06,-0.001,0.016,0.999,0,0.00,0.00,0.00
7,2025-10-19T13:49:33.600Z,53.8232636,17.3410809,146.9,0.37,-0.001,0.016,1.000,0,0.00,0.00,0.00
8,2025-10-19T13:49:33.640Z,53.8232636,17.3410809,146.9,0.08,-0.001,0.016,1.000,0,0.00,0.00,0.00
9,2025-10-19T13:49:33.680Z,53.8232636,17.3410809,146.9,0.11,-0.001,0.016,1.000,0,0.00,0.00,-0.01
10,2025-10-19T13:49:33.720Z,53.8232636,17.3410809,146.9,0.38,-0.001,0.016,1.000,0,0.00,0.00,-0.01
11,2025-10-19T13:49:33.760Z,53.8232636,17.3410807,146.9,0.27,-0.001,0.016,1.000,0,0.00,-0.01,-0.01
12,2025-10-19T13:49:33.800Z,53.8232636,17.3410809,146.9,0.15,-0.001,0.016,1.000,0,0.00,-0.01,-0.01
13,2025-10-19T13:49:33.840Z,53.8232636,17.3410809,146.9,0.42,-0.001,0.016,1.000,0,0.00,-0.01,-0.01
14,2025-10-19T13:49:33.880Z,53.8232636,17.3410810,146.8,0.22,-0.001,0.016,1.000,0,0.00,-0.01,0.00
15,2025-10-19T13:49:33.920Z,53.8232635,17.3410810,146.8,0.39,-0.001,0.016,1.000,0,0.00,-0.01,0.00
16,2025-10-19T13:49:33.960Z,53.8232635,17.3410810,146.8,0.32,-0.001,0.016,1.000,0,0.00,-0.01,0.00
17,2025-10-19T13:49:34.040Z,53.8232636,17.3410809,146.8,0.56,-0.001,0.016,1.000,0,0.00,-0.01,0.00
18,2025-10-19T13:49:34.080Z,53.8232635,17.3410810,146.8,0.39,-0.001,0.016,1.000,0,0.00,0.00,0.00
19,2025-10-19T13:49:34.120Z,53.8232634,17.3410810,146.8,0.38,-0.001,0.016,1.000,0,0.00,0.00,0.00
20,2025-10-19T13:49:34.160Z,53.8232635,17.3410810,146.7,0.23,-0.001,0.016,1.000,0,0.00,0.00,0.00
21,2025-10-19T13:49:34.200Z,53.8232634,17.3410810,146.7,0.16,-0.001,0.016,1.000,0,0.00,0.00,0.00
22,2025-10-19T13:49:34.240Z,53.8232634,17.3410810,146.7,0.14,-0.001,0.016,0.999,0,0.00,0.00,0.00
23,2025-10-19T13:49:34.280Z,53.8232634,17.3410810,146.7,0.22,-0.001,0.016,0.999,0,0.00,0.00,0.00
24,2025-10-19T13:49:34.320Z,53.8232633,17.3410810,146.7,0.17,-0.001,0.016,0.999,0,0.00,0.00,0.00
25,2025-10-19T13:49:34.360Z,53.8232633,17.3410810,146.7,0.25,-0.001,0.016,1.000,0,0.00,0.00,0.00
26,2025-10-19T13:49:34.400Z,53.8232633,17.3410810,146.7,0.35,-0.001,0.016,1.000,0,0.00,-0.01,0.00
27,2025-10-19T13:49:34.440Z,53.8232631,17.3410810,146.7,0.41,-0.001,0.016,1.000,0,0.00,-0.01,0.00
28,2025-10-19T13:49:34.480Z,53.8232631,17.3410810,146.7,0.23,-0.001,0.016,1.000,0,0.00,-0.01,0.00
29,2025-10-19T13:49:34.520Z,53.8232631,17.3410811,146.6,0.28,-0.001,0.016,1.000,0,0.00,-0.01,0.00
30,2025-10-19T13:49:34.560Z,53.8232631,17.3410811,146.6,0.19,-0.001,0.016,1.000,0,0.00,-0.01,0.00
31,2025-10-19T13:49:34.600Z,53.8232630,17.3410811,146.6,0.23,-0.001,0.016,1.000,0,0.00,0.00,0.00
32,2025-10-19T13:49:34.640Z,53.8232630,17.3410811,146.6,0.22,-0.001,0.016,1.000,0,0.00,-0.01,0.00
33,2025-10-19T13:49:34.680Z,53.8232630,17.3410810,146.6,0.40,-0.001,0.016,1.000,0,0.00,-0.01,0.00
34,2025-10-19T13:49:34.720Z,53.8232630,17.3410811,146.6,0.21,-0.001,0.016,1.000,0,0.01,-0.01,-0.01
35,2025-10-19T13:49:34.760Z,53.8232630,17.3410811,146.6,0.22,-0.001,0.016,1.000,0,0.01,-0.01,-0.01
36,2025-10-19T13:49:34.800Z,53.8232630,17.3410812,146.5,0.40,-0.001,0.016,1.000,0,0.01,-0.01,-0.01
37,2025-10-19T13:49:34.840Z,53.8232630,17.3410812,146.5,0.40,-0.001,0.016,1.000,0,0.01,0.00,-0.01
38,2025-10-19T13:49:34.880Z,53.8232630,17.3410811,146.5,0.62,-0.001,0.016,1.000,0,0.01,0.00,-0.01
39,2025-10-19T13:49:34.920Z,53.8232630,17.3410812,146.5,0.28,-0.001,0.016,1.000,0,0.00,0.00,-0.01
40,2025-10-19T13:49:34.960Z,53.8232629,17.3410812,146.5,0.32,-0.001,0.016,1.000,0,0.00,0.00,0.00
41,2025-10-19T13:49:35.040Z,53.8232630,17.3410812,146.5,0.33,-0.001,0.016,1.000,0,0.00,-0.01,0.00
42,2025-10-19T13:49:35.080Z,53.8232629,17.3410812,146.5,0.14,-0.001,0.016,1.000,0,0.00,-0.01,0.00
43,2025-10-19T13:49:35.120Z,53.8232629,17.3410813,146.5,0.14,-0.001,0.016,1.000,0,0.00,-0.01,0.00
44,2025-10-19T13:49:35.160Z,53.8232629,17.3410813,146.5,0.31,-0.001,0.016,1.000,0,0.00,0.00,0.00
45,2025-10-19T13:49:35.200Z,53.8232629,17.3410813,146.4,0.22,-0.001,0.016,1.000,0,0.00,0.00,0.00
46,2025-10-19T13:49:35.240Z,53.8232629,17.3410813,146.4,0.09,-0.001,0.016,1.000,0,0.00,0.00,0.00
47,2025-10-19T13:49:35.280Z,53.8232628,17.3410815,146.4,0.43,-0.001,0.016,1.000,0,0.01,-0.01,0.00
48,2025-10-19T13:49:35.320Z,53.8232628,17.3410815,146.4,0.14,-0.001,0.016,1.000,0,0.02,-0.01,0.00
49,2025-10-19T13:49:35.360Z,53.8232628,17.3410813,146.4,0.42,-0.001,0.016,1.000,0,0.03,-0.01,0.00
50,2025-10-19T13:49:35.400Z,53.8232627,17.3410814,146.4,0.09,0.000,0.016,1.000,0,0.03,-0.02,0.00
51,2025-10-19T13:49:35.440Z,53.8232627,17.3410815,146.4,0.10,0.000,0.016,1.000,0,0.03,-0.02,0.00
52,2025-10-19T13:49:35.480Z,53.8232627,17.3410815,146.4,0.02,0.000,0.016,1.000,0,0.03,-0.02,0.00
53,2025-10-19T13:49:35.520Z,53.8232627,17.3410815,146.4,0.20,0.000,0.016,1.000,0,0.03,-0.02,0.00
54,2025-10-19T13:49:35.560Z,53.8232626,17.3410815,146.3,0.31,-0.001,0.016,1.000,0,0.03,-0.01,0.00
55,2025-10-19T13:49:35.600Z,53.8232626,17.3410815,146.3,0.13,-0.001,0.016,1.000,0,0.03,-0.01,0.00
56,2025-10-19T13:49:35.640Z,53.8232626,17.3410815,146.3,0.22,-0.001,0.016,1.000,0,0.03,-0.01,0.00
57,2025-10-19T13:49:35.680Z,53.8232626,17.3410815,146.3,0.13,-0.001,0.016,1.000,0,0.03,-0.01,0.00
58,2025-10-19T13:49:35.720Z,53.8232626,17.3410816,146.3,0.19,-0.001,0.016,1.000,0,0.03,-0.01,0.00
59,2025-10-19T13:49:35.760Z,53.8232626,17.3410816,146.3,0.22,-0.001,0.016,1.000,0,0.03,-0.01,-0.01
60,2025-10-19T13:49:35.800Z,53.8232626,17.3410817,146.3,0.06,-0.001,0.016,1.000,0,0.03,-0.01,-0.01
61,2025-10-19T13:49:35.840Z,53.8232626,17.3410816,146.3,0.22,-0.001,0.016,1.000,0,0.02,-0.01,-0.01
62,2025-10-19T13:49:35.880Z,53.8232626,17.3410817,146.3,0.06,0.000,0.016,1.000,0,0.02,-0.01,-0.01
63,2025-10-19T13:49:35.920Z,53.8232626,17.3410817,146.2,0.22,-0.001,0.016,1.000,0,0.01,-0.02,-0.01
64,2025-10-19T13:49:35.960Z,53.8232626,17.3410818,146.2,0.13,-0.001,0.016,1.000,0,0.00,-0.02,-0.01
65,2025-10-19T13:49:36.040Z,53.8232626,17.3410818,146.2,0.20,-0.001,0.016,1.000,0,0.00,-0.02,0.00
66,2025-10-19T13:49:36.080Z,53.8232626,17.3410818,146.2,0.37,-0.001,0.016,1.000,0,0.00,-0.02,0.00
67,2025-10-19T13:49:36.120Z,53.8232625,17.3410818,146.2,0.42,-0.001,0.016,1.000,0,0.00,-0.01,0.00
68,2025-10-19T13:49:36.160Z,53.8232626,17.3410818,146.2,0.17,-0.001,0.016,1.000,0,0.00,-0.01,0.00
69,2025-10-19T13:49:36.200Z,53.8232626,17.3410820,146.2,0.46,-0.001,0.017,1.000,0,0.00,-0.01,0.00
70,2025-10-19T13:49:36.240Z,53.8232626,17.3410821,146.2,0.45,-0.001,0.017,1.000,0,-0.01,-0.02,0.00
71,2025-10-19T13:49:36.280Z,53.8232626,17.3410821,146.2,0.12,-0.001,0.017,1.000,0,-0.03,-0.02,-0.01
72,2025-10-19T13:49:36.320Z,53.8232626,17.3410820,146.2,0.23,-0.001,0.017,1.000,0,-0.04,-0.01,-0.02
73,2025-10-19T13:49:36.360Z,53.8232626,17.3410821,146.2,0.09,-0.001,0.016,1.000,0,-0.04,-0.01,-0.02
74,2025-10-19T13:49:36.400Z,53.8232626,17.3410822,146.2,0.02,-0.001,0.015,1.000,0,-0.03,0.00,-0.02
75,2025-10-19T13:49:36.440Z,53.8232626,17.3410823,146.2,0.35,-0.001,0.014,1.000,0,0.00,0.00,-0.01
76,2025-10-19T13:49:36.480Z,53.8232626,17.3410823,146.2,0.48,-0.001,0.015,1.000,0,0.01,0.00,0.00
77,2025-10-19T13:49:36.520Z,53.8232626,17.3410823,146.2,0.14,-0.001,0.015,1.000,0,0.02,0.00,0.00
78,2025-10-19T13:49:36.560Z,53.8232627,17.3410823,146.2,0.32,-0.001,0.016,1.000,0,0.03,0.00,0.00
79,2025-10-19T13:49:36.600Z,53.8232627,17.3410823,146.2,0.36,-0.001,0.017,1.000,0,0.02,0.00,0.00
80,2025-10-19T13:49:36.640Z,53.8232627,17.3410824,146.2,0.14,-0.001,0.018,0.999,0,0.00,0.00,0.00
81,2025-10-19T13:49:36.680Z,53.8232627,17.3410824,146.2,0.21,-0.001,0.018,1.000,0,-0.03,-0.01,-0.01
82,2025-10-19T13:49:36.720Z,53.8232627,17.3410824,146.2,0.32,-0.001,0.017,1.000,0,-0.05,-0.01,-0.02
83,2025-10-19T13:49:36.760Z,53.8232626,17.3410824,146.2,0.61,-0.001,0.016,1.000,0,-0.07,-0.02,-0.01
84,2025-10-19T13:49:36.800Z,53.8232626,17.3410824,146.2,0.45,-0.001,0.015,1.000,0,-0.06,-0.02,-0.01
85,2025-10-19T13:49:36.840Z,53.8232627,17.3410824,146.2,0.17,-0.001,0.014,1.000,0,-0.03,-0.01,0.00
86,2025-10-19T13:49:36.880Z,53.8232627,17.3410824,146.2,0.27,-0.001,0.015,1.000,0,-0.01,-0.01,0.00
87,2025-10-19T13:49:36.920Z,53.8232628,17.3410826,146.2,0.13,-0.001,0.016,1.000,0,0.00,-0.01,0.00
88,2025-10-19T13:49:36.960Z,53.8232627,17.3410827,146.2,0.24,-0.001,0.016,0.999,0,0.00,-0.01,0.00
89,2025-10-19T13:49:37.040Z,53.8232627,17.3410827,146.2,0.43,-0.001,0.016,0.999,0,0.00,-0.01,0.00
90,2025-10-19T13:49:37.080Z,53.8232628,17.3410827,146.2,0.15,-0.001,0.016,0.999,0,-0.01,-0.01,-0.01
91,2025-10-19T13:49:37.120Z,53.8232628,17.3410827,146.2,0.21,-0.001,0.016,1.000,0,-0.02,-0.01,-0.01
92,2025-10-19T13:49:37.160Z,53.8232628,17.3410829,146.2,0.38,-0.001,0.016,0.999,0,-0.02,-0.01,-0.01
93,2025-10-19T13:49:37.200Z,53.8232628,17.3410830,146.2,0.02,-0.001,0.016,1.000,0,-0.02,-0.01,-0.01
94,2025-10-19T13:49:37.240Z,53.8232629,17.3410830,146.2,0.17,-0.001,0.016,1.000,0,-0.02,-0.02,-0.01
95,2025-10-19T13:49:37.280Z,53.8232629,17.3410830,146.2,0.17,-0.001,0.016,1.000,0,-0.02,-0.02,-0.01
96,2025-10-19T13:49:37.320Z,53.8232629,17.3410830,146.2,0.44,-0.001,0.016,1.000,0,-0.01,-0.03,-0.01
97,2025-10-19T13:49:37.360Z,53.8232629,17.3410830,146.2,0.15,-0.001,0.016,1.000,0,0.00,-0.02,-0.01
98,2025-10-19T13:49:37.400Z,53.8232629,17.3410830,146.2,0.35,-0.001,0.016,1.000,0,0.00,-0.02,-0.01
99,2025-10-19T13:49:37.440Z,53.8232629,17.3410830,146.2,0.21,-0.001,0.016,1.000,0,0.00,-0.02,-0.01
100,2025-10-19T13:49:37.480Z,53.8232629,17.3410830,146.2,0.12,-0.001,0.016,1.000,0,0.00,-0.02,-0.01
101,2025-10-19T13:49:37.520Z,53.8232629,17.3410830,146.2,0.10,-0.001,0.016,1.000,0,-0.01,-0.02,-0.01
102,2025-10-19T13:49:37.560Z,53.8232630,17.3410830,146.2,0.30,-0.001,0.016,1.000,0,-0.01,-0.02,-0.01
103,2025-10-19T13:49:37.600Z,53.8232630,17.3410830,146.2,0.04,-0.001,0.016,1.000,0,-0.01,-0.02,-0.01
104,2025-10-19T13:49:37.640Z,53.8232630,17.3410832,146.2,0.32,-0.001,0.016,1.000,0,-0.01,-0.02,-0.01
105,2025-10-19T13:49:37.680Z,53.8232630,17.3410832,146.2,0.20,-0.001,0.016,1.000,0,-0.01,-0.02,0.00
106,2025-10-19T13:49:37.720Z,53.8232631,17.3410832,146.2,0.14,-0.001,0.016,1.000,0,0.00,-0.02,0.00
107,2025-10-19T13:49:37.760Z,53.8232631,17.3410832,146.2,0.09,-0.001,0.016,1.000,0,0.00,-0.02,0.00
