Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Run,GyroX,GyroY,GyroZ
1,2025-10-19T15:21:54.520Z,53.8233126,17.3409673,142.0,0.28,0.000,0.004,1.002,1,0.00,0.00,-0.01
2,2025-10-19T15:21:54.560Z,53.8233124,17.3409673,142.0,1.08,0.000,0.004,1.002,1,0.00,0.00,-0.01
3,2025-10-19T15:21:54.600Z,53.8233125,17.3409673,142.0,0.10,0.000,0.004,1.002,1,0.00,-0.01,-0.01
4,2025-10-19T15:21:54.640Z,53.8233124,17.3409673,142.0,0.12,0.000,0.004,1.002,1,0.00,-0.01,-0.01
5,2025-10-19T15:21:54.680Z,53.8233124,17.3409673,142.0,0.10,0.000,0.004,1.002,1,0.00,-0.01,0.00
6,2025-10-19T15:21:54.720Z,53.8233124,17.3409673,142.0,0.12,0.000,0.004,1.002,1,0.00,-0.01,0.00
7,2025-10-19T15:21:54.760Z,53.8233123,17.3409673,142.0,0.23,0.000,0.004,1.002,1,0.00,-0.01,0.00
8,2025-10-19T15:21:54.800Z,53.8233124,17.3409673,142.0,0.28,0.000,0.004,1.002,1,0.00,0.00,0.00
9,2025-10-19T15:21:54.840Z,53.8233124,17.3409673,142.0,0.21,0.000,0.004,1.002,1,-0.01,0.00,-0.01
10,2025-10-19T15:21:54.880Z,53.8233125,17.3409673,142.0,0.44,0.000,0.004,1.002,1,-0.01,0.00,-0.01
11,2025-10-19T15:21:54.960Z,53.8233124,17.3409673,142.0,0.21,0.000,0.004,1.002,1,-0.01,0.00,-0.01
12,2025-10-19T15:21:55.040Z,53.8233124,17.3409673,142.0,0.18,0.000,0.004,1.002,1,-0.01,0.00,-0.01
13,2025-10-19T15:22:11.040Z,53.8233099,17.3409688,142.0,0.84,0.089,0.000,1.002,1,0.04,0.00,-0.30
14,2025-10-19T15:22:11.080Z,53.8233100,17.3409690,142.0,1.25,0.095,0.000,1.000,1,0.03,0.00,-0.36
15,2025-10-19T15:22:11.120Z,53.8233101,17.3409692,142.0,1.61,0.100,0.000,0.998,1,0.00,0.00,-0.41
16,2025-10-19T15:22:11.160Z,53.8233102,17.3409695,142.0,1.45,0.108,0.000,0.995,1,-0.02,0.02,-0.47
17,2025-10-19T15:22:11.200Z,53.8233102,17.3409698,142.0,1.80,0.112,0.000,0.995,1,-0.06,0.05,-0.52
18,2025-10-19T15:22:11.240Z,53.8233103,17.3409702,142.0,2.19,0.114,0.001,0.996,1,-0.10,0.10,-0.56
19,2025-10-19T15:22:11.280Z,53.8233103,17.3409705,142.0,2.07,0.112,0.000,0.997,1,-0.16,0.11,-0.60
20,2025-10-19T15:22:11.320Z,53.8233103,17.3409708,142.0,2.02,0.111,0.001,1.000,1,-0.23,0.11,-0.65
21,2025-10-19T15:22:11.360Z,53.8233104,17.3409711,142.0,2.30,0.106,0.001,1.001,1,-0.27,0.09,-0.70
22,2025-10-19T15:22:11.400Z,53.8233106,17.3409716,142.0,2.53,0.105,-0.001,1.003,1,-0.28,0.05,-0.75
23,2025-10-19T15:22:11.440Z,53.8233106,17.3409719,142.0,2.21,0.103,-0.002,1.002,1,-0.25,0.00,-0.80
24,2025-10-19T15:22:11.480Z,53.8233107,17.3409723,142.0,2.91,0.104,-0.002,1.001,1,-0.20,-0.03,-0.85
25,2025-10-19T15:22:11.520Z,53.8233108,17.3409730,142.0,3.03,0.107,-0.004,0.998,1,-0.11,-0.03,-0.90
26,2025-10-19T15:22:11.560Z,53.8233109,17.3409735,142.0,3.16,0.110,-0.004,0.996,1,-0.01,0.00,-0.96
27,2025-10-19T15:22:11.600Z,53.8233109,17.3409740,142.0,3.33,0.109,-0.004,0.995,1,0.10,0.07,-1.01
28,2025-10-19T15:22:11.640Z,53.8233110,17.3409745,142.0,3.33,0.111,-0.004,0.996,1,0.22,0.13,-1.07
29,2025-10-19T15:22:11.680Z,53.8233112,17.3409752,142.0,3.71,0.113,-0.002,0.998,1,0.28,0.16,-1.13
30,2025-10-19T15:22:11.720Z,53.8233113,17.3409757,142.0,3.37,0.112,0.000,0.999,1,0.31,0.20,-1.18
31,2025-10-19T15:22:11.760Z,53.8233115,17.3409763,142.0,3.80,0.113,0.000,1.001,1,0.26,0.20,-1.24
32,2025-10-19T15:22:11.800Z,53.8233115,17.3409769,142.0,4.18,0.113,0.001,1.003,1,0.19,0.18,-1.29
33,2025-10-19T15:22:11.840Z,53.8233118,17.3409777,142.0,4.30,0.112,0.000,1.006,1,0.10,0.14,-1.34
34,2025-10-19T15:22:11.880Z,53.8233119,17.3409784,142.0,4.46,0.112,-0.001,1.007,1,0.04,0.08,-1.39
35,2025-10-19T15:22:11.920Z,53.8233121,17.3409792,142.1,4.45,0.114,-0.003,1.006,1,-0.01,0.01,-1.44
36,2025-10-19T15:22:11.960Z,53.8233121,17.3409799,142.1,4.55,0.116,-0.004,1.005,1,-0.06,-0.03,-1.51
37,2025-10-19T15:22:12.040Z,53.8233125,17.3409815,142.1,4.93,0.122,-0.006,1.002,1,-0.05,-0.02,-1.57
38,2025-10-19T15:22:12.080Z,53.8233127,17.3409823,142.1,5.27,0.128,-0.006,1.000,1,-0.05,0.02,-1.62
39,2025-10-19T15:22:12.120Z,53.8233127,17.3409832,142.0,5.33,0.138,-0.004,0.996,1,-0.06,0.04,-1.67
40,2025-10-19T15:22:12.160Z,53.8233130,17.3409841,142.1,5.61,0.158,-0.001,0.989,1,-0.15,0.05,-1.72
41,2025-10-19T15:22:12.200Z,53.8233132,17.3409850,142.0,5.71,0.178,0.000,0.984,1,-0.26,0.12,-1.75
42,2025-10-19T15:22:12.240Z,53.8233133,17.3409860,142.0,6.44,0.200,0.000,0.989,1,-0.42,0.23,-1.79
43,2025-10-19T15:22:12.280Z,53.8233136,17.3409871,142.0,6.63,0.220,-0.003,0.997,1,-0.56,0.33,-1.83
44,2025-10-19T15:22:12.320Z,53.8233139,17.3409882,142.0,6.93,0.233,-0.005,1.009,1,-0.67,0.36,-1.88
45,2025-10-19T15:22:12.360Z,53.8233140,17.3409894,142.1,7.25,0.240,-0.008,1.016,1,-0.73,0.14,-1.95
46,2025-10-19T15:22:12.400Z,53.8233144,17.3409907,142.1,7.80,0.246,-0.010,1.014,1,-0.73,-0.15,-2.03
47,2025-10-19T15:22:12.440Z,53.8233146,17.3409921,142.1,8.24,0.252,-0.007,1.003,1,-0.75,-0.43,-2.10
48,2025-10-19T15:22:12.480Z,53.8233150,17.3409933,142.1,8.27,0.257,-0.007,0.990,1,-0.71,-0.55,-2.15
49,2025-10-19T15:22:12.520Z,53.8233152,17.3409948,142.1,8.75,0.263,-0.008,0.983,1,-0.60,-0.46,-2.16
50,2025-10-19T15:22:12.560Z,53.8233155,17.3409963,142.1,9.26,0.267,-0.008,0.989,1,-0.45,-0.28,-2.12
51,2025-10-19T15:22:12.600Z,53.8233158,17.3409979,142.1,9.64,0.266,-0.009,0.996,1,-0.26,-0.26,-2.08
52,2025-10-19T15:22:12.640Z,53.8233161,17.3409994,142.1,9.73,0.267,-0.009,1.000,1,-0.06,-0.37,-2.05
53,2025-10-19T15:22:12.680Z,53.8233164,17.3410012,142.1,10.34,0.269,-0.006,1.003,1,-0.01,-0.49,-1.99
54,2025-10-19T15:22:12.720Z,53.8233168,17.3410030,142.1,10.94,0.273,-0.004,1.002,1,-0.05,-0.60,-1.95
55,2025-10-19T15:22:12.760Z,53.8233172,17.3410048,142.1,10.95,0.286,-0.006,1.012,1,-0.19,-0.68,-1.96
56,2025-10-19T15:22:12.800Z,53.8233175,17.3410066,142.1,11.21,0.318,-0.011,1.030,1,-0.36,-1.07,-2.04
57,2025-10-19T15:22:12.840Z,53.8233179,17.3410085,142.1,11.91,0.376,-0.019,1.022,1,-0.46,-1.69,-2.24
58,2025-10-19T15:22:12.880Z,53.8233181,17.3410108,142.1,12.99,0.446,-0.022,1.006,1,-0.46,-2.04,-2.54
59,2025-10-19T15:22:12.920Z,53.8233186,17.3410131,142.1,13.98,0.500,-0.025,0.992,1,-0.54,-2.03,-2.89
60,2025-10-19T15:22:12.960Z,53.8233192,17.3410154,142.1,14.60,0.532,-0.031,0.988,1,-0.51,-1.69,-3.24
61,2025-10-19T15:22:13.040Z,53.8233200,17.3410205,142.1,15.96,0.539,-0.032,0.963,1,-0.41,-1.49,-3.37
62,2025-10-19T15:22:13.080Z,53.8233204,17.3410234,142.1,16.83,0.498,-0.033,0.961,1,-0.34,-0.76,-3.28
63,2025-10-19T15:22:13.120Z,53.8233208,17.3410262,142.1,17.15,0.426,-0.036,0.973,1,-0.30,0.00,-3.10
64,2025-10-19T15:22:13.160Z,53.8233213,17.3410292,142.1,17.90,0.365,-0.035,0.997,1,-0.14,0.45,-2.87
65,2025-10-19T15:22:13.200Z,53.8233218,17.3410320,142.1,17.84,0.321,-0.033,1.007,1,0.04,0.41,-2.65
66,2025-10-19T15:22:13.240Z,53.8233221,17.3410350,142.1,17.82,0.295,-0.027,1.011,1,0.25,0.60,-2.51
67,2025-10-19T15:22:13.280Z,53.8233227,17.3410378,142.1,18.18,0.268,-0.013,0.995,1,0.26,0.90,-2.35
68,2025-10-19T15:22:13.320Z,53.8233232,17.3410411,142.1,19.04,0.231,-0.006,0.985,1,0.26,1.24,-2.12
69,2025-10-19T15:22:13.360Z,53.8233237,17.3410441,142.1,19.08,0.186,-0.003,0.981,1,0.20,1.42,-1.88
70,2025-10-19T15:22:13.400Z,53.8233243,17.3410471,142.1,18.99,0.142,0.001,0.982,1,0.20,1.41,-1.61
71,2025-10-19T15:22:13.440Z,53.8233248,17.3410502,142.1,18.94,0.104,0.000,1.008,1,0.12,1.16,-1.34
72,2025-10-19T15:22:13.480Z,53.8233254,17.3410535,142.1,19.31,0.087,-0.005,1.016,1,0.28,0.69,-1.14
73,2025-10-19T15:22:13.520Z,53.8233259,17.3410564,142.1,19.01,0.083,-0.005,1.014,1,0.31,0.39,-1.04
74,2025-10-19T15:22:13.560Z,53.8233263,17.3410596,142.1,19.41,0.079,-0.009,1.006,1,0.33,0.19,-0.99
75,2025-10-19T15:22:13.600Z,53.8233269,17.3410628,142.1,19.67,0.072,-0.015,0.990,1,0.43,0.13,-1.00
76,2025-10-19T15:22:13.640Z,53.8233274,17.3410660,142.0,19.54,0.061,-0.011,0.980,1,0.42,0.20,-1.04
77,2025-10-19T15:22:13.680Z,53.8233279,17.3410692,142.1,19.65,0.049,-0.008,0.994,1,0.35,0.17,-1.04
78,2025-10-19T15:22:13.720Z,53.8233285,17.3410724,142.1,19.58,0.043,-0.010,1.002,1,0.27,0.12,-1.01
79,2025-10-19T15:22:13.760Z,53.8233291,17.3410757,142.1,19.65,0.036,-0.004,1.014,1,0.17,0.26,-1.00
80,2025-10-19T15:22:13.800Z,53.8233296,17.3410788,142.1,19.74,0.027,0.001,1.021,1,-0.18,0.24,-0.90
81,2025-10-19T15:22:13.840Z,53.8233302,17.3410819,142.0,19.58,0.018,-0.001,1.003,1,-0.19,0.21,-0.76
